Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-16T22:48:36.961327,  0.0,05.1098,0.56662,02.8897
2026-04-16T22:48:37.929299,  1.0,05.1094,0.59520,03.0355
2026-04-16T22:48:38.950381,  2.0,05.1091,0.92479,04.7164
2026-04-16T22:48:39.926421,  3.0,05.1089,0.92189,04.7016
2026-04-16T22:48:40.945364,  4.0,05.1089,0.92434,04.7141
2026-04-16T22:48:41.918977,  5.0,05.1044,1.02941,05.2499
2026-04-16T22:48:42.941664,  6.0,05.1088,0.93324,04.7595
2026-04-16T22:48:43.960135,  7.0,05.1089,0.93382,04.7624
2026-04-16T22:48:44.934408,  8.0,05.1092,0.93838,04.7857
2026-04-16T22:48:45.952891,  9.0,05.1096,0.95206,04.8555
2026-04-16T22:48:46.925784, 10.0,05.1139,1.21706,06.2191
2026-04-16T22:48:47.945040, 11.0,05.1072,1.02733,05.2393
2026-04-16T22:48:48.921125, 12.0,05.1078,1.06515,05.4322
2026-04-16T22:48:49.941323, 13.0,05.1144,1.13391,05.7942
2026-04-16T22:48:50.918222, 14.0,05.1108,1.08358,05.5370
2026-04-16T22:48:51.939309, 15.0,05.1109,1.11969,05.7216
2026-04-16T22:48:52.960866, 16.0,05.1109,0.77065,03.9380
2026-04-16T22:48:53.936721, 17.0,05.1100,1.26983,06.4888
2026-04-16T22:48:54.956538, 18.0,05.1067,1.01883,05.1960
2026-04-16T22:48:55.931240, 19.0,05.1059,0.98165,05.0064
2026-04-16T22:48:56.950023, 20.0,05.1095,0.98395,05.0181
2026-04-16T22:48:57.925929, 21.0,05.1070,1.10093,05.6147
2026-04-16T22:48:58.950024, 22.0,05.0926,1.02340,05.2091
2026-04-16T22:48:59.925976, 23.0,05.1091,0.82004,04.1822
2026-04-16T22:49:00.949684, 24.0,05.1091,1.11869,05.7053
2026-04-16T22:49:01.925690, 25.0,05.1130,0.99318,05.0751
2026-04-16T22:49:02.946914, 26.0,05.1089,1.27586,06.5068
2026-04-16T22:49:03.922133, 27.0,05.1158,1.07725,05.5047
2026-04-16T22:49:04.944749, 28.0,05.1022,0.96223,04.9073
2026-04-16T22:49:05.920179, 29.0,05.0980,0.98996,05.0388
2026-04-16T22:49:06.944301, 30.0,05.1170,1.17762,06.0176
2026-04-16T22:49:07.919588, 31.0,05.1069,0.78544,04.0057
2026-04-16T22:49:08.936133, 32.0,05.1095,0.97648,04.9800
2026-04-16T22:49:09.958570, 33.0,05.1099,1.05733,05.3923
2026-04-16T22:49:10.934187, 34.0,05.1108,1.24534,06.3636
2026-04-16T22:49:11.956779, 35.0,05.1072,1.04106,05.3094
2026-04-16T22:49:12.931140, 36.0,05.1134,1.05497,05.3908
2026-04-16T22:49:13.953526, 37.0,05.0950,1.36991,06.9728
2026-04-16T22:49:14.927445, 38.0,05.1083,0.77027,03.9283
2026-04-16T22:49:15.946113, 39.0,05.1102,1.41557,07.2335
2026-04-16T22:49:16.921016, 40.0,05.1048,1.18134,06.0248
2026-04-16T22:49:17.940144, 41.0,05.1147,1.09980,05.6199
2026-04-16T22:49:18.961577, 42.0,05.1141,1.36323,06.9661
2026-04-16T22:49:19.934995, 43.0,05.1031,1.05163,05.3633
2026-04-16T22:49:20.954361, 44.0,05.1037,1.28456,06.5512
2026-04-16T22:49:21.927130, 45.0,05.1026,1.33011,06.7835
2026-04-16T22:49:22.947186, 46.0,05.1094,0.76883,03.9210
2026-04-16T22:49:23.920437, 47.0,05.1094,1.28272,06.5418
2026-04-16T22:49:24.939229, 48.0,05.1089,1.17695,06.0024
2026-04-16T22:49:25.955209, 49.0,05.1059,1.16759,05.9547
2026-04-16T22:49:26.931839, 50.0,05.1090,1.07348,05.4747
2026-04-16T22:49:27.954680, 51.0,05.1076,1.17100,05.9721
2026-04-16T22:49:28.930088, 52.0,05.1172,1.20713,06.1684
2026-04-16T22:49:29.951888, 53.0,05.1047,1.07905,05.5031
2026-04-16T22:49:30.927184, 54.0,05.1093,0.76925,03.9231
2026-04-16T22:49:31.946384, 55.0,05.1128,1.07893,05.5133
2026-04-16T22:49:32.921859, 56.0,05.1080,1.32171,06.7407
2026-04-16T22:49:33.946276, 57.0,05.1159,1.09298,05.5851
2026-04-16T22:49:34.964607, 58.0,05.0995,1.15917,05.9001
2026-04-16T22:49:35.939923, 59.0,05.1012,1.03894,05.2985
2026-04-16T22:49:36.960071, 60.0,05.1172,1.11013,05.6727
2026-04-16T22:49:37.934703, 61.0,05.1072,1.23587,06.3029
2026-04-16T22:49:38.953553, 62.0,05.1098,0.81746,04.1690
2026-04-16T22:49:39.925288, 63.0,05.1137,1.19155,06.0888
2026-04-16T22:49:40.947606, 64.0,05.1133,1.07203,05.4780
2026-04-16T22:49:41.921752, 65.0,05.1091,1.13709,05.7991
2026-04-16T22:49:42.945113, 66.0,05.1177,1.04081,05.3185
2026-04-16T22:49:43.966480, 67.0,05.1090,1.02869,05.2463
2026-04-16T22:49:44.941514, 68.0,05.1034,1.09315,05.5750
2026-04-16T22:49:45.962801, 69.0,05.1070,1.04364,05.3225
2026-04-16T22:49:46.936378, 70.0,05.1084,0.76839,03.9187
2026-04-16T22:49:47.955665, 71.0,05.1094,1.14867,05.8582
2026-04-16T22:49:48.931181, 72.0,05.1008,1.17750,06.0052
2026-04-16T22:49:49.950738, 73.0,05.1042,1.13315,05.7790
2026-04-16T22:49:50.924999, 74.0,05.0980,1.07479,05.4706
2026-04-16T22:49:51.943955, 75.0,05.1126,1.11077,05.6760
2026-04-16T22:49:52.961151, 76.0,05.1077,1.19928,06.1163
2026-04-16T22:49:53.935794, 77.0,05.1111,1.14064,05.8286
2026-04-16T22:49:54.955762, 78.0,05.1122,0.74002,03.7815
2026-04-16T22:49:55.927435, 79.0,05.1096,1.10999,05.6609
2026-04-16T22:49:56.949931, 80.0,05.1053,1.14541,05.8415
2026-04-16T22:49:57.926766, 81.0,05.1047,1.04369,05.3228
2026-04-16T22:49:58.947979, 82.0,05.1125,1.04117,05.3203
2026-04-16T22:49:59.969604, 83.0,05.1055,1.04075,05.3078
2026-04-16T22:50:00.944508, 84.0,05.1069,1.13861,05.8069
2026-04-16T22:50:01.967062, 85.0,05.1061,1.20704,06.1559
2026-04-16T22:50:02.940188, 86.0,05.1091,0.76903,03.9220
2026-04-16T22:50:03.963096, 87.0,05.1083,1.07925,05.5041
2026-04-16T22:50:04.940149, 88.0,05.1059,1.03869,05.2973
2026-04-16T22:50:05.962487, 89.0,05.1071,1.12849,05.7552
2026-04-16T22:50:06.939920, 90.0,05.0981,1.13232,05.7635
2026-04-16T22:50:07.962405, 91.0,05.1123,1.19135,06.0877
2026-04-16T22:50:08.939492, 92.0,05.1059,1.08189,05.5176
2026-04-16T22:50:09.960358, 93.0,05.1056,1.26322,06.4424
2026-04-16T22:50:10.934406, 94.0,05.1119,0.70137,03.5840
