timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-17T15:20:21.230054,2.0,6.9,3.0,92.0
2026-04-17T15:20:22.260994,53.0,16.0,46.5,11.0
2026-04-17T15:20:23.286954,1.0,0.0,99.0,0.0
2026-04-17T15:20:24.287374,0.0,0.0,54.0,0.0
2026-04-17T15:20:25.287739,0.0,0.0,3.0,0.0
2026-04-17T15:20:26.288106,0.0,0.0,78.2,0.0
2026-04-17T15:20:27.291480,0.0,0.0,100.0,0.0
2026-04-17T15:20:28.292155,22.0,18.4,57.8,42.4
2026-04-17T15:20:29.294812,33.0,41.4,20.8,52.9
2026-04-17T15:20:30.296391,23.2,35.4,38.4,49.0
2026-04-17T15:20:31.297995,17.3,34.0,54.2,38.8
2026-04-17T15:20:32.300416,32.7,39.6,51.5,25.7
2026-04-17T15:20:33.303333,48.0,75.8,50.0,49.0
2026-04-17T15:20:34.304733,16.0,12.9,12.0,30.7
2026-04-17T15:20:35.307078,13.6,15.5,35.0,32.4
2026-04-17T15:20:36.307658,41.0,44.9,40.2,18.2
2026-04-17T15:20:37.308145,65.7,33.0,25.7,26.0
2026-04-17T15:20:38.309736,43.9,21.2,61.4,19.0
2026-04-17T15:20:39.312258,17.3,62.0,16.3,49.5
2026-04-17T15:20:40.314741,22.0,45.0,43.9,36.0
2026-04-17T15:20:41.317444,47.1,61.6,72.5,49.0
2026-04-17T15:20:42.319492,37.3,49.0,39.6,57.8
2026-04-17T15:20:43.320764,0.0,0.0,0.0,16.0
2026-04-17T15:20:44.322726,19.6,46.5,36.6,45.5
2026-04-17T15:20:45.325145,30.6,61.8,16.5,34.4
2026-04-17T15:20:46.327913,49.0,52.0,25.5,23.0
2026-04-17T15:20:47.330246,49.0,54.0,24.2,19.0
2026-04-17T15:20:48.331729,15.6,49.5,59.0,20.6
2026-04-17T15:20:49.334176,36.6,50.0,49.0,54.9
2026-04-17T15:20:50.339928,52.9,60.6,64.2,54.0
2026-04-17T15:20:51.342093,16.8,14.1,10.8,9.9
2026-04-17T15:20:52.343901,31.0,20.2,39.8,19.8
2026-04-17T15:20:53.345550,18.0,17.2,92.9,17.2
2026-04-17T15:20:54.347932,19.0,25.0,53.1,49.0
2026-04-17T15:20:55.350570,67.0,26.0,35.0,15.5
2026-04-17T15:20:56.353163,24.0,49.0,54.5,22.8
2026-04-17T15:20:57.356200,16.2,41.4,50.5,39.0
2026-04-17T15:20:58.358328,58.8,62.6,61.6,55.6
2026-04-17T15:20:59.360796,35.3,31.0,44.1,37.0
2026-04-17T15:21:00.362138,5.1,5.1,6.1,27.0
2026-04-17T15:21:01.364691,19.0,57.0,45.5,25.3
2026-04-17T15:21:02.367923,19.0,88.5,22.2,18.0
2026-04-17T15:21:03.370742,18.8,35.0,73.7,19.0
2026-04-17T15:21:04.374497,37.0,41.7,25.0,44.4
2026-04-17T15:21:05.375826,43.3,38.2,35.1,28.0
2026-04-17T15:21:06.378968,52.6,38.0,51.5,65.3
2026-04-17T15:21:07.381425,68.6,56.7,44.1,45.0
2026-04-17T15:21:08.382985,5.1,6.1,5.9,4.0
2026-04-17T15:21:09.385943,34.3,33.3,35.0,29.3
2026-04-17T15:21:10.388170,56.4,29.7,42.4,19.0
2026-04-17T15:21:11.391059,19.6,54.0,15.5,53.1
2026-04-17T15:21:12.393280,28.3,49.0,18.2,49.0
2026-04-17T15:21:13.395487,19.0,50.5,59.0,19.8
2026-04-17T15:21:14.397512,18.6,44.3,46.5,36.6
2026-04-17T15:21:15.403403,57.8,73.0,62.6,67.0
2026-04-17T15:21:16.406212,26.5,27.7,25.3,20.6
2026-04-17T15:21:17.407301,36.0,11.1,9.0,12.0
2026-04-17T15:21:18.408892,24.7,27.8,43.3,45.9
2026-04-17T15:21:19.411379,13.7,75.0,19.6,31.4
2026-04-17T15:21:20.413232,25.0,24.5,67.7,27.6
2026-04-17T15:21:21.415641,18.2,64.3,36.9,27.8
