timestamp,total,available,used,percent,free,active,inactive,buffers,cached
2026-04-15T11:37:41.848907,8589934592,1399652352,3262431232,83.7,67289088,1348059136,1218592768,0,0
2026-04-15T11:37:42.854049,8589934592,1366933504,3286827008,84.1,60948480,1328398336,1183711232,0,0
2026-04-15T11:37:43.859144,8589934592,1435680768,3275603968,83.3,84656128,1367998464,1236172800,0,0
2026-04-15T11:37:44.859512,8589934592,1294663680,3326312448,84.9,71237632,1241137152,1122648064,0,0
2026-04-15T11:37:45.864975,8589934592,1410252800,3210756096,83.6,70746112,1342865408,1231847424,0,0
2026-04-15T11:37:46.867688,8589934592,1436893184,3209166848,83.3,93208576,1322041344,1228226560,0,0
2026-04-15T11:37:47.869368,8589934592,1400930304,3253567488,83.7,67600384,1342013440,1217495040,0,0
2026-04-15T11:37:48.873890,8589934592,1392885760,3219111936,83.8,59899904,1348599808,1220935680,0,0
2026-04-15T11:37:49.879201,8589934592,1409794048,3207774208,83.6,69042176,1353433088,1229373440,0,0
2026-04-15T11:37:50.884341,8589934592,1410433024,3217080320,83.6,63045632,1363148800,1247199232,0,0
