timestamp,total,available,used,percent,free,active,inactive,buffers,cached
2026-04-17T17:05:50.205030,17002643456,16456679424,545964032,3.2,15874048000,720666624,184582144,38502400,661913600
2026-04-17T17:05:51.205898,17002643456,16418570240,584073216,3.4,15833497600,756088832,185384960,38502400,664436736
2026-04-17T17:05:52.221525,17002643456,16327884800,674758656,4.0,15742812160,825163776,185384960,38502400,664436736
2026-04-17T17:05:53.221838,17002643456,16275423232,727220224,4.3,15690219520,859160576,185384960,38502400,664567808
2026-04-17T17:05:54.222319,17002643456,16103407616,899235840,5.3,15471001600,991674368,232570880,38502400,712048640
2026-04-17T17:05:55.222645,17002643456,15985606656,1017036800,6.0,15257681920,1087356928,328056832,38502400,807780352
2026-04-17T17:05:56.225445,17002643456,15953674240,1048969216,6.2,15210496000,1117634560,342982656,38518784,822575104
2026-04-17T17:05:57.225918,17002643456,15868887040,1133756416,6.7,15125708800,1202962432,342982656,38518784,822575104
2026-04-17T17:05:58.226987,17002643456,15780003840,1222639616,7.2,15032827904,1163804672,343605248,38518784,826589184
2026-04-17T17:05:59.227907,17002643456,15762800640,1239842816,7.3,15015624704,1192951808,343605248,38518784,826621952
2026-04-17T17:06:00.229215,17002643456,15761850368,1240793088,7.3,15014641664,1198030848,343605248,38518784,826621952
2026-04-17T17:06:01.230266,17002643456,15761358848,1241284608,7.3,15014150144,1199046656,343605248,38518784,826621952
2026-04-17T17:06:02.230919,17002643456,15766519808,1236123648,7.3,15019311104,1199046656,343605248,38518784,826621952
2026-04-17T17:06:03.232281,17002643456,15418900480,1583742976,9.3,14671560704,1616773120,343605248,38518784,826753024
2026-04-17T17:06:04.232937,17002643456,15336325120,1666318336,9.8,14588985344,1701593088,343605248,38518784,826769408
2026-04-17T17:06:05.233167,17002643456,15336325120,1666318336,9.8,14588985344,1701593088,343605248,38518784,826769408
2026-04-17T17:06:06.233364,17002643456,15338045440,1664598016,9.8,14590705664,1701593088,343605248,38518784,826769408
2026-04-17T17:06:07.233959,17002643456,15820357632,1182285824,7.0,15073001472,1184235520,343605248,38518784,826769408
2026-04-17T17:06:08.234936,17002643456,15823814656,1178828800,6.9,15076458496,1197539328,343605248,38518784,826769408
2026-04-17T17:06:09.235637,17002643456,15829712896,1172930560,6.9,15082356736,1200586752,343605248,38518784,826769408
2026-04-17T17:06:10.236863,17002643456,15838806016,1163837440,6.8,15091449856,1200586752,343605248,38518784,826769408
2026-04-17T17:06:11.237382,17002643456,15849275392,1153368064,6.8,15101919232,1200586752,343605248,38518784,826769408
2026-04-17T17:06:12.240565,17002643456,15762964480,1239678976,7.3,15015608320,1347796992,343605248,38518784,826769408
2026-04-17T17:06:13.240878,17002643456,15357460480,1645182976,9.7,14610104320,1701806080,343605248,38518784,826769408
2026-04-17T17:06:14.241901,17002643456,15357460480,1645182976,9.7,14610104320,1701806080,343605248,38518784,826769408
2026-04-17T17:06:15.242887,17002643456,15357460480,1645182976,9.7,14610104320,1701806080,343605248,38518784,826769408
2026-04-17T17:06:16.245961,17002643456,15647162368,1355481088,8.0,14899806208,1369128960,343605248,38518784,826769408
