Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-13T14:56:02.925395,  0.0,05.1078,0.58545,02.9857
2026-04-13T14:56:03.895169,  1.0,05.1079,0.58516,02.9843
2026-04-13T14:56:04.915889,  2.0,05.1064,0.94048,04.7964
2026-04-13T14:56:05.890284,  3.0,05.1078,0.92583,04.7217
2026-04-13T14:56:06.911748,  4.0,05.1076,0.98420,05.0194
2026-04-13T14:56:07.886246,  5.0,05.1026,0.93848,04.7862
2026-04-13T14:56:08.909359,  6.0,05.1074,0.93580,04.7725
2026-04-13T14:56:09.883927,  7.0,05.1075,0.93957,04.7918
2026-04-13T14:56:10.905128,  8.0,05.1072,0.93382,04.7624
2026-04-13T14:56:11.926294,  9.0,05.1070,0.95140,04.8521
2026-04-13T14:56:12.900250, 10.0,05.1072,0.83620,04.2646
2026-04-13T14:56:13.921908, 11.0,05.1075,0.73334,03.7400
2026-04-13T14:56:14.892566, 12.0,05.1075,0.73659,03.7566
2026-04-13T14:56:15.912301, 13.0,05.1073,0.73593,03.7532
2026-04-13T14:56:16.884411, 14.0,05.1053,0.84848,04.3272
2026-04-13T14:56:17.905283, 15.0,05.1073,0.73251,03.7358
2026-04-13T14:56:18.922834, 16.0,05.1074,0.81316,04.1471
2026-04-13T14:56:19.896156, 17.0,05.1073,0.73268,03.7366
2026-04-13T14:56:20.916121, 18.0,05.1070,0.75124,03.8313
2026-04-13T14:56:21.886534, 19.0,05.1098,0.73327,03.7396
2026-04-13T14:56:22.904516, 20.0,05.1030,1.53029,07.8044
2026-04-13T14:56:23.924992, 21.0,05.1044,1.23168,06.2815
2026-04-13T14:56:24.899965, 22.0,05.1065,0.63565,03.2418
2026-04-13T14:56:25.915330, 23.0,05.1070,0.59495,03.0342
2026-04-13T14:56:26.888048, 24.0,05.1075,0.59457,03.0323
2026-04-13T14:56:27.906124, 25.0,05.1079,0.73421,03.7444
2026-04-13T14:56:28.925571, 26.0,05.1056,0.81639,04.1635
2026-04-13T14:56:29.898005, 27.0,05.1075,0.73373,03.7420
2026-04-13T14:56:30.916919, 28.0,05.1074,0.84858,04.3277
2026-04-13T14:56:31.888307, 29.0,05.1078,0.73352,03.7409
2026-04-13T14:56:32.905621, 30.0,05.1076,0.78758,04.0166
2026-04-13T14:56:33.923549, 31.0,05.1097,0.79418,04.0503
2026-04-13T14:56:34.898042, 32.0,05.1079,0.73621,03.7546
2026-04-13T14:56:35.915810, 33.0,05.1080,0.85158,04.3430
2026-04-13T14:56:36.888188, 34.0,05.1083,0.77697,03.9625
2026-04-13T14:56:37.907598, 35.0,05.1084,0.89379,04.5583
2026-04-13T14:56:38.929006, 36.0,05.0903,1.26494,06.4385
2026-04-13T14:56:39.902812, 37.0,05.1082,0.73726,03.7600
2026-04-13T14:56:40.924006, 38.0,05.1081,0.73766,03.7620
2026-04-13T14:56:41.897102, 39.0,05.1078,0.73758,03.7616
2026-04-13T14:56:42.916023, 40.0,05.1075,0.66448,03.3888
2026-04-13T14:56:43.889593, 41.0,05.1078,0.78151,03.9857
2026-04-13T14:56:44.908410, 42.0,05.1081,0.73730,03.7602
2026-04-13T14:56:45.929352, 43.0,05.1082,0.85249,04.3476
2026-04-13T14:56:46.902157, 44.0,05.1079,0.73321,03.7393
2026-04-13T14:56:47.921374, 45.0,05.1050,0.80912,04.1265
2026-04-13T14:56:48.896350, 46.0,05.1077,0.76912,03.9225
2026-04-13T14:56:49.914532, 47.0,05.1080,0.73314,03.7390
2026-04-13T14:56:50.933473, 48.0,05.1078,0.85168,04.3435
2026-04-13T14:56:51.907929, 49.0,05.1078,0.78964,04.0271
2026-04-13T14:56:52.927904, 50.0,05.0995,1.01764,05.1797
2026-04-13T14:56:53.906072, 51.0,05.0992,1.20106,06.1133
2026-04-13T14:56:54.926819, 52.0,05.1105,0.74236,03.7934
2026-04-13T14:56:55.904240, 53.0,05.1064,0.74130,03.7806
2026-04-13T14:56:56.927085, 54.0,05.1062,0.73949,03.7713
2026-04-13T14:56:57.901736, 55.0,05.1086,0.77497,03.9523
2026-04-13T14:56:58.920617, 56.0,05.1077,0.70902,03.6160
2026-04-13T14:56:59.893179, 57.0,05.1078,0.74291,03.7888
2026-04-13T14:57:00.913646, 58.0,05.1047,0.84787,04.3241
2026-04-13T14:57:01.932932, 59.0,05.1109,0.73845,03.7734
2026-04-13T14:57:02.907306, 60.0,05.1079,0.79324,04.0455
2026-04-13T14:57:03.928901, 61.0,05.1074,0.71403,03.6415
2026-04-13T14:57:04.903760, 62.0,05.1073,0.86875,04.4306
2026-04-13T14:57:05.923548, 63.0,05.1112,0.73617,03.7618
2026-04-13T14:57:06.899823, 64.0,05.1073,0.79328,04.0457
2026-04-13T14:57:07.920877, 65.0,05.0989,0.91903,04.6778
2026-04-13T14:57:08.893326, 66.0,05.1036,1.40558,07.1684
2026-04-13T14:57:09.915929, 67.0,05.1070,0.74047,03.7763
2026-04-13T14:57:10.893246, 68.0,05.1073,0.74071,03.7776
2026-04-13T14:57:11.914878, 69.0,05.1078,0.74012,03.7746
2026-04-13T14:57:12.934258, 70.0,05.1080,0.80430,04.1019
2026-04-13T14:57:13.910328, 71.0,05.1080,0.77804,03.9680
2026-04-13T14:57:14.928344, 72.0,05.1080,0.73719,03.7596
2026-04-13T14:57:15.901991, 73.0,05.1081,0.84771,04.3233
2026-04-13T14:57:16.920972, 74.0,05.1081,0.73569,03.7520
2026-04-13T14:57:17.895110, 75.0,05.1079,0.77542,03.9546
2026-04-13T14:57:18.917375, 76.0,05.1083,0.73580,03.7525
2026-04-13T14:57:19.937724, 77.0,05.1078,0.82372,04.2009
2026-04-13T14:57:20.912997, 78.0,05.1075,0.73278,03.7371
2026-04-13T14:57:21.933442, 79.0,05.1098,0.77522,03.9536
2026-04-13T14:57:22.908825, 80.0,05.1098,1.06479,05.4304
2026-04-13T14:57:23.930796, 81.0,05.1184,1.52014,07.7679
2026-04-13T14:57:24.905220, 82.0,05.1109,0.76273,03.8975
2026-04-13T14:57:25.921856, 83.0,05.1078,0.59804,03.0500
2026-04-13T14:57:26.938602, 84.0,05.1080,0.59671,03.0432
2026-04-13T14:57:27.911811, 85.0,05.1089,0.78440,04.0004
2026-04-13T14:57:28.931149, 86.0,05.1087,0.74816,03.8156
2026-04-13T14:57:29.904999, 87.0,05.1086,0.73543,03.7506
2026-04-13T14:57:30.925246, 88.0,05.1080,0.85604,04.3658
2026-04-13T14:57:31.900622, 89.0,05.1039,0.79607,04.0599
2026-04-13T14:57:32.920339, 90.0,05.1056,0.73939,03.7708
2026-04-13T14:57:33.941117, 91.0,05.1079,0.73477,03.7473
2026-04-13T14:57:34.914498, 92.0,05.1073,0.84799,04.3247
2026-04-13T14:57:35.932362, 93.0,05.1078,0.73654,03.7563
2026-04-13T14:57:36.905958, 94.0,05.1082,0.80044,04.0822
2026-04-13T14:57:37.924952, 95.0,05.1083,0.73847,03.7661
2026-04-13T14:57:38.896971, 96.0,05.1051,1.39911,07.1354
2026-04-13T14:57:39.916550, 97.0,05.1011,0.78401,03.9984
2026-04-13T14:57:40.935753, 98.0,05.1084,0.73926,03.7702
2026-04-13T14:57:41.910501, 99.0,05.1083,0.74009,03.7744
