Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-17T17:24:31.375683, 88.0,05.1031,1.16903,05.9620
2026-04-17T17:24:32.396422, 89.0,05.1095,0.74709,03.8101
2026-04-17T17:24:33.371234, 90.0,05.1095,0.74431,03.7959
2026-04-17T17:24:34.393511, 91.0,05.1093,0.79135,04.0358
2026-04-17T17:24:35.370597, 92.0,05.1069,1.10632,05.6422
2026-04-17T17:24:36.393146, 93.0,05.1126,1.02619,05.2438
2026-04-17T17:24:37.369532, 94.0,05.1150,1.18131,06.0364
2026-04-17T17:24:38.393021, 95.0,05.1095,1.00020,05.1010
2026-04-17T17:24:39.370646, 96.0,05.1058,1.03994,05.3036
2026-04-17T17:24:40.391980, 97.0,05.1097,1.08668,05.5420
2026-04-17T17:24:41.366091, 98.0,05.1100,0.74710,03.8176
2026-04-17T17:24:42.383289, 99.0,05.1102,0.60203,03.0763
2026-04-17T17:24:43.399748,100.0,05.1106,0.59977,03.0648
2026-04-17T17:24:44.375956,101.0,05.1050,1.27116,06.4829
2026-04-17T17:24:45.397986,102.0,05.1089,1.24216,06.3350
2026-04-17T17:24:46.375149,103.0,05.1166,1.17730,06.0160
2026-04-17T17:24:47.397007,104.0,05.1137,1.06158,05.4246
2026-04-17T17:24:48.370320,105.0,05.1055,1.10632,05.6422
2026-04-17T17:24:49.389547,106.0,05.1095,1.13015,05.7637
2026-04-17T17:24:50.364529,107.0,05.1103,0.74934,03.8291
2026-04-17T17:24:51.388526,108.0,05.1104,0.74593,03.8117
2026-04-17T17:24:52.366385,109.0,05.1103,0.74202,03.7917
2026-04-17T17:24:53.388723,110.0,05.0973,0.98212,04.9989
2026-04-17T17:24:54.363110,111.0,05.1028,1.21879,06.2158
2026-04-17T17:24:55.384491,112.0,05.1107,1.22235,06.2462
2026-04-17T17:24:56.360463,113.0,05.1158,1.05786,05.4056
2026-04-17T17:24:57.381465,114.0,05.1095,1.07070,05.4605
2026-04-17T17:24:58.401514,115.0,05.0972,1.27912,06.5107
