timestamp,total,available,used,percent,free,active,inactive,buffers,cached
2026-04-16T22:35:32.955793,17002643456,16445374464,557268992,3.3,15597895680,810336256,357056512,42418176,923942912
2026-04-16T22:35:33.956814,17002643456,16427286528,575356928,3.4,15579807744,846364672,357056512,42418176,923942912
2026-04-16T22:35:34.980797,17002643456,16344956928,657686528,3.9,15497478144,914931712,357056512,42418176,923942912
2026-04-16T22:35:35.987111,17002643456,16290643968,711999488,4.2,15443165184,954875904,357056512,42418176,923942912
2026-04-16T22:35:36.988821,17002643456,16024240128,978403328,5.8,15176761344,1198866432,357056512,42418176,923942912
2026-04-16T22:35:37.990522,17002643456,16016621568,986021888,5.8,15169142784,1210040320,357056512,42418176,923942912
2026-04-16T22:35:38.992407,17002643456,15850258432,1152385024,6.8,15002763264,1217789952,357072896,42434560,923942912
2026-04-16T22:35:39.994710,17002643456,15811428352,1191215104,7.0,14963933184,1271414784,357072896,42434560,923942912
2026-04-16T22:35:40.996622,17002643456,15800123392,1202520064,7.1,14952628224,1283096576,357072896,42434560,923942912
2026-04-16T22:35:41.998345,17002643456,15799894016,1202749440,7.1,14952398848,1283096576,357072896,42434560,923942912
2026-04-16T22:35:43.000748,17002643456,15801614336,1201029120,7.1,14954119168,1286651904,357072896,42434560,923942912
2026-04-16T22:35:44.003254,17002643456,15774810112,1227833344,7.2,14927314944,1392459776,357072896,42434560,923942912
2026-04-16T22:35:45.004551,17002643456,15697149952,1305493504,7.7,14849654784,1516388352,357072896,42434560,923942912
2026-04-16T22:35:46.006123,17002643456,15877292032,1125351424,6.6,15029796864,1266941952,357072896,42434560,923942912
2026-04-16T22:35:47.008711,17002643456,15875850240,1126793216,6.6,15028355072,1282916352,357072896,42434560,923942912
2026-04-16T22:35:48.010942,17002643456,15880716288,1121927168,6.6,15033221120,1282916352,357072896,42434560,923942912
2026-04-16T22:35:49.012200,17002643456,15900704768,1101938688,6.5,15053209600,1283424256,357072896,42434560,923942912
2026-04-16T22:35:50.013839,17002643456,15912648704,1089994752,6.4,15065153536,1284440064,357072896,42434560,923942912
2026-04-16T22:35:51.016087,17002643456,15915188224,1087455232,6.4,15067693056,1287569408,357072896,42434560,923942912
2026-04-16T22:35:52.017512,17002643456,15720546304,1282097152,7.5,14873051136,1520189440,357072896,42434560,923942912
2026-04-16T22:35:53.019472,17002643456,15921217536,1081425920,6.4,15073722368,1266958336,357072896,42434560,923942912
2026-04-16T22:35:54.020990,17002643456,15917285376,1085358080,6.4,15069790208,1281458176,357072896,42434560,923942912
2026-04-16T22:35:55.022457,17002643456,15917285376,1085358080,6.4,15069790208,1282473984,357072896,42434560,923942912
2026-04-16T22:35:56.025138,17002643456,15919431680,1083211776,6.4,15071936512,1282981888,357072896,42434560,923942912
2026-04-16T22:35:57.027214,17002643456,15927951360,1074692096,6.3,15080456192,1282981888,357072896,42434560,923942912
2026-04-16T22:35:58.028697,17002643456,15938109440,1064534016,6.3,15090614272,1282981888,357072896,42434560,923942912
2026-04-16T22:35:59.030725,17002643456,15714222080,1288421376,7.6,14866726912,1518141440,357072896,42434560,923942912
2026-04-16T22:36:00.032652,17002643456,15832858624,1169784832,6.9,14985363456,1371865088,357072896,42434560,923942912
2026-04-16T22:36:01.034233,17002643456,15925673984,1076969472,6.3,15078178816,1281982464,357072896,42434560,923942912
2026-04-16T22:36:02.035525,17002643456,15926034432,1076609024,6.3,15078539264,1282490368,357072896,42434560,923942912
2026-04-16T22:36:03.037029,17002643456,15927197696,1075445760,6.3,15079702528,1282998272,357072896,42434560,923942912
2026-04-16T22:36:04.040241,17002643456,15929819136,1072824320,6.3,15082323968,1285029888,357072896,42434560,923942912
2026-04-16T22:36:05.043113,17002643456,15935602688,1067040768,6.3,15088107520,1285029888,357072896,42434560,923942912
2026-04-16T22:36:06.045377,17002643456,15939895296,1062748160,6.3,15092400128,1285439488,357072896,42434560,923942912
2026-04-16T22:36:07.047169,17002643456,15694462976,1308180480,7.7,14846967808,1516519424,357072896,42434560,923942912
2026-04-16T22:36:08.056734,17002643456,15694462976,1308180480,7.7,14846967808,1516519424,357072896,42434560,923942912
2026-04-16T22:36:09.077987,17002643456,15889825792,1112817664,6.5,15042330624,1283375104,357072896,42434560,923942912
2026-04-16T22:36:10.104344,17002643456,15890006016,1112637440,6.5,15042510848,1283375104,357072896,42434560,923942912
2026-04-16T22:36:11.130762,17002643456,15897608192,1105035264,6.5,15050113024,1283375104,357072896,42434560,923942912
2026-04-16T22:36:12.142844,17002643456,15911075840,1091567616,6.4,15063580672,1283375104,357072896,42434560,923942912
2026-04-16T22:36:13.145982,17002643456,15918628864,1084014592,6.4,15071133696,1286717440,357072896,42434560,923942912
2026-04-16T22:36:14.148473,17002643456,15717941248,1284702208,7.6,14870446080,1521352704,357072896,42434560,923942912
2026-04-16T22:36:15.156740,17002643456,15717941248,1284702208,7.6,14870446080,1521352704,357072896,42434560,923942912
2026-04-16T22:36:16.178008,17002643456,15947726848,1054916608,6.2,15100231680,1283309568,357072896,42434560,923942912
2026-04-16T22:36:17.209436,17002643456,15947726848,1054916608,6.2,15100231680,1284833280,357072896,42434560,923942912
2026-04-16T22:36:18.235821,17002643456,15948627968,1054015488,6.2,15101132800,1284833280,357072896,42434560,923942912
2026-04-16T22:36:19.241941,17002643456,15951118336,1051525120,6.2,15103623168,1284833280,357072896,42434560,923942912
2026-04-16T22:36:20.245948,17002643456,15955083264,1047560192,6.2,15107588096,1285341184,357072896,42434560,923942912
2026-04-16T22:36:21.252786,17002643456,15952822272,1049821184,6.2,15105327104,1285701632,357072896,42434560,923942912
2026-04-16T22:36:22.254035,17002643456,15689711616,1312931840,7.7,14842216448,1515765760,357072896,42434560,923942912
2026-04-16T22:36:23.275265,17002643456,15689711616,1312931840,7.7,14842216448,1515765760,357072896,42434560,923942912
2026-04-16T22:36:24.288780,17002643456,15863136256,1139507200,6.7,15015641088,1282785280,357072896,42434560,923942912
2026-04-16T22:36:25.294897,17002643456,15863201792,1139441664,6.7,15015706624,1282932736,357072896,42434560,923942912
2026-04-16T22:36:26.312827,17002643456,15868461056,1134182400,6.7,15020965888,1284440064,357072896,42434560,923942912
2026-04-16T22:36:27.334253,17002643456,15886811136,1115832320,6.6,15039315968,1284947968,357072896,42434560,923942912
2026-04-16T22:36:28.357119,17002643456,15901310976,1101332480,6.5,15053815808,1284947968,357072896,42434560,923942912
2026-04-16T22:36:29.362751,17002643456,15914074112,1088569344,6.4,15066578944,1294352384,357072896,42434560,923942912
2026-04-16T22:36:30.364059,17002643456,15472279552,1530363904,9.0,14624784384,1691025408,357072896,42434560,923942912
2026-04-16T22:36:31.365744,17002643456,15412805632,1589837824,9.4,14565310464,1755529216,357072896,42434560,923942912
2026-04-16T22:36:32.367063,17002643456,15780167680,1222475776,7.2,14932672512,1267023872,357072896,42434560,923942912
2026-04-16T22:36:33.370238,17002643456,15780921344,1221722112,7.2,14933426176,1281212416,357072896,42434560,923942912
