timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-17T15:03:35.639202,4.0,95.0,4.0,4.0
2026-04-17T15:03:36.820130,9.0,52.5,51.5,10.0
2026-04-17T15:03:37.844928,1.0,0.0,100.0,1.0
2026-04-17T15:03:38.845507,0.0,1.0,32.7,0.0
2026-04-17T15:03:39.845961,0.0,0.0,4.0,0.0
2026-04-17T15:03:40.847750,0.0,1.0,93.9,0.0
2026-04-17T15:03:41.848774,0.0,0.0,97.0,0.0
2026-04-17T15:03:42.849237,24.5,27.3,49.0,39.0
2026-04-17T15:03:43.850384,17.8,21.8,90.6,18.8
2026-04-17T15:03:44.867445,22.0,17.6,33.7,71.0
2026-04-17T15:03:45.888151,22.5,57.0,18.6,50.0
2026-04-17T15:03:46.904065,47.5,42.4,44.4,25.3
2026-04-17T15:03:47.904530,45.5,55.0,42.7,33.0
2026-04-17T15:03:48.907344,0.0,3.0,0.0,0.0
2026-04-17T15:03:49.933080,61.4,45.9,17.6,18.0
2026-04-17T15:03:50.986776,64.2,27.5,35.6,17.8
2026-04-17T15:03:51.991381,19.8,70.4,20.6,39.0
2026-04-17T15:03:52.994041,45.0,68.0,19.8,19.8
2026-04-17T15:03:53.996795,46.4,16.7,62.0,16.5
2026-04-17T15:03:55.001002,49.5,31.6,48.5,51.0
2026-04-17T15:03:56.004747,53.6,35.7,61.1,43.0
2026-04-17T15:03:57.006643,0.0,3.0,9.0,2.0
2026-04-17T15:03:58.008265,17.5,17.2,63.6,31.3
2026-04-17T15:03:59.010943,32.7,61.0,25.8,27.0
2026-04-17T15:04:00.014857,24.2,62.6,41.0,21.6
2026-04-17T15:04:01.016420,50.0,16.3,60.6,17.2
2026-04-17T15:04:02.018914,15.3,44.0,20.6,66.3
2026-04-17T15:04:03.022594,18.2,92.8,18.2,17.3
2026-04-17T15:04:04.024830,50.0,59.0,62.4,57.3
2026-04-17T15:04:05.026627,14.0,14.1,9.0,18.0
2026-04-17T15:04:06.027926,30.7,46.5,15.7,14.9
2026-04-17T15:04:07.029980,36.6,51.0,20.4,34.7
2026-04-17T15:04:08.031902,19.6,50.5,57.3,22.8
2026-04-17T15:04:09.035250,18.6,56.1,17.2,50.5
2026-04-17T15:04:10.037695,17.3,15.6,38.8,70.7
2026-04-17T15:04:11.040835,36.1,33.7,34.0,40.0
2026-04-17T15:04:12.044017,64.4,47.5,63.3,43.1
2026-04-17T15:04:13.047236,16.2,25.5,32.3,18.2
2026-04-17T15:04:14.049674,9.0,33.0,20.0,9.9
2026-04-17T15:04:15.052154,45.5,18.6,63.7,16.5
2026-04-17T15:04:16.054011,29.7,42.4,54.0,20.6
2026-04-17T15:04:17.057261,20.6,18.2,34.7,68.9
2026-04-17T15:04:18.059356,18.8,28.7,50.0,51.0
2026-04-17T15:04:19.062131,17.2,18.2,87.0,19.2
2026-04-17T15:04:20.065001,34.9,37.1,64.3,50.0
2026-04-17T15:04:21.066601,16.0,41.6,20.0,23.0
2026-04-17T15:04:22.068264,8.1,21.8,27.0,9.0
2026-04-17T15:04:23.070327,53.9,25.7,37.4,29.6
2026-04-17T15:04:24.071840,45.0,34.0,49.0,19.8
2026-04-17T15:04:25.073209,46.4,27.5,30.6,41.4
2026-04-17T15:04:26.075713,19.6,21.8,90.5,20.4
2026-04-17T15:04:27.078010,19.8,51.0,52.5,21.2
2026-04-17T15:04:28.081509,43.7,44.4,55.4,56.9
2026-04-17T15:04:29.082972,40.2,37.3,53.1,35.6
2026-04-17T15:04:30.085750,1.0,1.0,0.0,16.0
2026-04-17T15:04:31.088793,28.6,19.0,80.4,19.6
2026-04-17T15:04:32.095791,44.9,20.2,52.0,26.3
2026-04-17T15:04:33.099667,52.9,54.7,24.5,19.0
2026-04-17T15:04:34.102430,17.3,16.5,44.0,64.7
2026-04-17T15:04:35.105414,47.0,32.3,41.8,28.6
2026-04-17T15:04:36.110061,64.3,28.7,48.5,33.0
2026-04-17T15:04:37.111834,56.7,27.5,36.0,26.5
2026-04-17T15:04:38.113777,15.0,0.0,0.0,0.0
2026-04-17T15:04:39.116117,36.3,20.0,33.7,57.9
2026-04-17T15:04:40.120352,29.1,29.4,74.0,23.1
2026-04-17T15:04:41.123094,18.2,20.8,20.4,88.0
2026-04-17T15:04:42.124671,22.5,37.0,56.3,36.6
2026-04-17T15:04:43.129628,16.7,54.1,24.5,50.0
2026-04-17T15:04:44.131657,72.0,43.9,35.6,33.7
2026-04-17T15:04:45.137489,37.4,36.6,53.5,66.0
2026-04-17T15:04:46.139237,1.0,0.0,3.0,1.0
2026-04-17T15:04:47.142065,14.6,70.3,34.7,14.6
2026-04-17T15:04:48.144934,30.9,33.3,40.2,40.6
2026-04-17T15:04:49.158690,21.6,20.2,11.0,87.3
2026-04-17T15:04:50.200650,40.8,43.1,32.4,30.4
2026-04-17T15:04:51.230527,18.4,29.0,70.6,27.7
2026-04-17T15:04:52.232203,56.6,45.5,30.4,42.2
2026-04-17T15:04:53.236353,43.0,54.6,46.9,63.6
2026-04-17T15:04:54.239135,7.9,8.9,5.1,5.0
2026-04-17T15:04:55.240503,11.6,49.0,37.8,19.6
2026-04-17T15:04:56.243194,43.9,35.4,48.0,17.2
2026-04-17T15:04:57.245468,45.0,38.4,41.2,21.4
2026-04-17T15:04:58.247502,50.0,62.7,19.0,19.0
2026-04-17T15:04:59.250007,19.0,87.0,24.0,18.2
2026-04-17T15:05:00.252091,22.5,41.4,67.7,18.0
2026-04-17T15:05:01.255099,48.5,46.1,67.7,62.4
2026-04-17T15:05:02.257084,16.5,21.2,11.0,15.3
2026-04-17T15:05:03.258502,18.0,37.9,26.8,12.9
2026-04-17T15:05:04.261022,44.4,33.3,51.5,16.2
2026-04-17T15:05:05.263100,21.8,46.5,21.2,59.6
2026-04-17T15:05:06.268129,15.5,86.9,22.2,17.3
2026-04-17T15:05:07.270651,35.0,21.4,15.8,78.6
2026-04-17T15:05:08.272541,23.8,50.5,19.0,55.6
2026-04-17T15:05:09.274472,58.9,51.0,43.2,56.2
2026-04-17T15:05:10.275648,17.8,20.4,41.4,23.2
2026-04-17T15:05:11.277085,23.2,8.1,28.2,10.0
2026-04-17T15:05:12.280039,37.4,60.6,27.7,16.7
2026-04-17T15:05:13.282332,28.0,43.6,36.4,37.5
2026-04-17T15:05:14.284110,21.4,32.0,64.3,27.3
2026-04-17T15:05:15.287350,60.0,46.9,19.8,20.8
2026-04-17T15:05:16.291423,29.0,37.0,24.0,54.5
2026-04-17T15:05:17.293756,70.4,49.5,40.2,42.0
2026-04-17T15:05:18.294958,28.3,29.7,31.0,55.1
2026-04-17T15:05:19.296701,4.0,4.0,24.8,4.0
2026-04-17T15:05:20.299219,13.5,11.8,90.3,14.6
2026-04-17T15:05:21.301582,19.8,40.8,70.4,18.2
