timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-17T16:00:11.191772,2.0,2.0,2.0,93.2
2026-04-17T16:00:12.212894,31.3,12.7,34.3,50.0
2026-04-17T16:00:13.228743,0.0,0.0,0.0,100.0
2026-04-17T16:00:14.229372,0.0,0.0,0.0,57.4
2026-04-17T16:00:15.229876,0.0,0.0,0.0,2.0
2026-04-17T16:00:16.230559,0.0,0.0,0.0,53.9
2026-04-17T16:00:17.231578,0.0,0.0,0.0,100.0
2026-04-17T16:00:18.232698,29.0,12.1,13.3,63.9
2026-04-17T16:00:19.233344,17.3,24.0,82.0,15.6
2026-04-17T16:00:20.234079,18.6,81.4,28.6,18.8
2026-04-17T16:00:21.235631,18.0,22.8,40.2,64.3
2026-04-17T16:00:22.239194,20.4,22.0,55.3,51.0
2026-04-17T16:00:23.240004,63.3,27.3,24.7,27.6
2026-04-17T16:00:24.241890,47.5,50.5,24.2,22.4
2026-04-17T16:00:25.243558,33.0,26.7,39.8,45.0
2026-04-17T16:00:26.246430,19.8,40.2,68.7,24.0
2026-04-17T16:00:27.247041,16.5,30.6,41.4,52.5
2026-04-17T16:00:28.247621,18.7,52.0,56.3,19.8
2026-04-17T16:00:29.248038,7.9,8.9,41.4,8.7
2026-04-17T16:00:30.250238,12.1,9.1,38.2,17.9
2026-04-17T16:00:31.253421,71.7,17.5,19.2,34.0
2026-04-17T16:00:32.255847,19.6,30.3,79.4,18.8
2026-04-17T16:00:33.258457,17.2,43.4,26.5,55.6
2026-04-17T16:00:34.261469,37.6,27.5,36.6,47.6
2026-04-17T16:00:35.265389,18.0,84.3,25.8,17.2
2026-04-17T16:00:36.268636,35.4,18.0,71.4,18.8
2026-04-17T16:00:37.271010,32.7,23.5,65.7,29.0
2026-04-17T16:00:38.273295,22.8,29.7,54.5,42.0
2026-04-17T16:00:39.275596,69.7,20.2,28.7,24.5
2026-04-17T16:00:40.277746,34.3,23.3,74.2,28.8
2026-04-17T16:00:41.279482,12.9,7.1,12.1,20.4
2026-04-17T16:00:42.282260,12.9,18.6,31.3,30.7
2026-04-17T16:00:43.285562,62.4,41.8,17.0,15.6
2026-04-17T16:00:44.286906,30.6,57.6,37.4,20.0
2026-04-17T16:00:45.289591,43.3,29.0,54.5,19.6
2026-04-17T16:00:46.291289,33.3,57.6,18.0,36.5
2026-04-17T16:00:47.294191,25.7,63.4,38.1,16.0
2026-04-17T16:00:48.296937,14.9,30.2,73.5,17.7
2026-04-17T16:00:49.299245,15.5,92.0,18.2,14.6
2026-04-17T16:00:50.301493,18.6,71.4,37.6,19.0
2026-04-17T16:00:51.303714,18.2,64.0,34.7,29.3
2026-04-17T16:00:52.307760,34.3,21.8,54.5,43.0
2026-04-17T16:00:53.309244,3.1,4.0,33.0,4.0
2026-04-17T16:00:54.310783,15.7,41.8,30.4,14.7
2026-04-17T16:00:55.314236,17.2,65.7,19.6,44.9
2026-04-17T16:00:56.318184,10.2,42.3,51.0,31.3
2026-04-17T16:00:57.320960,54.9,33.0,26.0,37.8
2026-04-17T16:00:58.322975,22.4,59.2,17.2,44.3
2026-04-17T16:00:59.324964,35.0,47.5,26.2,36.7
2026-04-17T16:01:00.327962,36.0,27.0,67.0,17.8
2026-04-17T16:01:01.330071,30.4,76.0,24.8,20.8
2026-04-17T16:01:02.332520,22.2,65.7,14.6,34.7
2026-04-17T16:01:03.335694,19.0,25.7,20.2,88.0
2026-04-17T16:01:04.337537,33.7,52.0,22.0,43.9
2026-04-17T16:01:05.339536,8.9,16.0,5.0,13.7
2026-04-17T16:01:06.342285,34.7,29.7,26.5,16.0
2026-04-17T16:01:07.344591,11.0,63.6,41.2,18.7
2026-04-17T16:01:08.346889,34.4,23.5,68.3,18.0
2026-04-17T16:01:09.349117,30.6,25.5,58.8,26.5
2026-04-17T16:01:10.351578,17.5,47.5,57.6,20.2
2026-04-17T16:01:11.357854,21.8,40.4,24.0,61.0
2026-04-17T16:01:12.360903,19.4,17.2,75.5,30.3
2026-04-17T16:01:13.366011,17.8,86.1,25.0,18.0
2026-04-17T16:01:14.369144,27.7,46.5,20.4,56.4
2026-04-17T16:01:15.371192,26.3,55.4,34.0,24.7
2026-04-17T16:01:16.374222,35.3,58.0,39.6,21.0
2026-04-17T16:01:17.376260,4.0,20.2,4.0,5.0
2026-04-17T16:01:18.378585,33.0,50.0,18.8,15.8
2026-04-17T16:01:19.381223,16.3,57.0,24.0,47.5
2026-04-17T16:01:20.384472,37.6,56.9,36.6,17.8
2026-04-17T16:01:21.387304,55.6,36.4,31.7,24.0
2026-04-17T16:01:22.390242,52.4,19.0,38.6,37.1
2026-04-17T16:01:23.393494,46.0,51.9,34.3,20.2
2026-04-17T16:01:24.395929,39.0,24.5,65.4,25.2
2026-04-17T16:01:25.399013,16.7,14.4,21.6,84.3
2026-04-17T16:01:26.401971,40.8,57.4,20.2,26.3
2026-04-17T16:01:27.404526,24.5,34.3,49.0,42.7
2026-04-17T16:01:28.407123,22.8,45.9,54.5,28.0
2026-04-17T16:01:29.409152,2.0,2.0,16.0,1.0
2026-04-17T16:01:30.411098,20.8,22.0,39.0,42.4
