timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7
2026-04-15T11:15:57.351251,32.7,29.6,27.3,21.4,37.8,19.0,11.1,7.9
2026-04-15T11:15:58.353652,31.0,29.0,21.4,21.0,30.6,17.2,9.0,4.0
2026-04-15T11:15:59.358663,33.7,31.3,32.3,27.0,19.6,26.5,7.9,3.0
2026-04-15T11:16:00.360987,35.7,33.7,27.3,26.3,36.1,6.1,2.0,1.0
2026-04-15T11:16:01.364891,45.9,42.9,34.3,28.3,29.6,6.9,2.0,1.0
2026-04-15T11:16:02.369217,30.3,25.3,22.2,21.2,24.2,7.0,7.9,2.0
2026-04-15T11:16:03.373648,28.3,23.2,21.0,14.3,32.0,29.6,7.1,4.9
2026-04-15T11:16:04.379117,37.1,34.3,27.6,25.0,45.4,26.0,21.0,18.0
2026-04-15T11:16:05.384124,32.7,27.6,22.2,18.2,34.7,7.0,4.0,2.0
2026-04-15T11:16:06.386172,30.0,24.2,19.2,18.2,14.3,21.4,3.0,0.0
2026-04-15T11:16:07.387437,32.0,29.6,25.3,19.2,37.1,20.4,7.1,5.1
2026-04-15T11:16:08.392715,38.4,34.3,34.0,29.0,50.5,42.4,32.0,25.0
2026-04-15T11:16:09.397971,32.3,23.2,18.2,18.2,24.2,29.3,11.0,7.9
2026-04-15T11:16:10.402582,31.3,28.3,24.2,19.4,36.5,27.6,13.1,8.0
2026-04-15T11:16:11.407747,35.7,33.3,29.3,24.2,51.0,39.4,31.0,25.0
2026-04-15T11:16:12.412896,25.3,23.2,16.0,15.2,24.5,29.6,11.1,5.1
2026-04-15T11:16:13.418072,37.8,32.3,25.5,22.0,36.1,13.9,4.0,2.0
2026-04-15T11:16:14.420063,38.4,32.7,30.3,26.3,39.8,17.3,9.1,5.0
2026-04-15T11:16:15.422670,26.8,28.3,21.2,11.1,20.4,14.0,4.0,4.0
2026-04-15T11:16:16.427997,30.0,24.5,21.2,18.0,29.2,18.2,2.0,0.0
2026-04-15T11:16:17.433299,33.0,29.6,23.2,20.0,33.7,4.0,1.0,1.0
2026-04-15T11:16:18.437523,28.3,27.6,19.2,13.4,28.6,6.1,2.0,1.0
2026-04-15T11:16:19.438607,25.5,19.0,17.2,13.0,22.9,22.7,5.0,1.0
2026-04-15T11:16:20.439597,41.8,40.2,34.7,29.6,32.7,8.1,2.0,2.0
2026-04-15T11:16:21.441267,33.0,30.6,25.3,21.2,34.4,6.9,1.0,0.0
