timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-17T16:34:42.534646,2.0,2.0,76.2,22.8
2026-04-17T16:34:43.560121,10.0,18.2,48.0,46.5
2026-04-17T16:34:44.596696,1.0,0.0,0.0,99.0
2026-04-17T16:34:45.597138,1.0,1.0,1.0,48.5
2026-04-17T16:34:46.597574,0.0,0.0,0.0,3.0
2026-04-17T16:34:47.599681,0.0,0.0,0.0,86.9
2026-04-17T16:34:48.617988,0.0,0.0,0.0,98.0
2026-04-17T16:34:49.634015,20.8,57.8,22.5,42.2
2026-04-17T16:34:50.635445,35.7,65.3,19.4,21.4
2026-04-17T16:34:51.661159,43.0,32.3,48.5,21.6
2026-04-17T16:34:52.707115,39.0,55.0,30.7,18.0
2026-04-17T16:34:53.716484,40.6,37.8,50.0,21.0
2026-04-17T16:34:54.717692,28.2,19.8,41.0,63.6
2026-04-17T16:34:55.718992,20.2,34.3,58.8,37.8
2026-04-17T16:34:56.721776,86.0,17.3,23.5,19.0
2026-04-17T16:34:57.722385,18.2,20.0,91.8,18.2
2026-04-17T16:34:58.722904,18.2,49.5,54.5,24.0
2026-04-17T16:34:59.724411,32.3,51.0,53.6,48.0
2026-04-17T16:35:00.725412,44.4,48.5,42.2,43.4
2026-04-17T16:35:01.725722,0.0,0.0,0.0,0.0
2026-04-17T16:35:02.726040,0.0,0.0,0.0,0.0
2026-04-17T16:35:03.746660,8.9,0.0,0.0,0.0
2026-04-17T16:35:04.787544,70.0,30.3,16.5,20.0
2026-04-17T16:35:05.799182,20.6,56.3,38.6,37.0
2026-04-17T16:35:06.801611,18.6,67.7,39.8,17.7
2026-04-17T16:35:07.804783,21.0,27.0,36.3,66.0
2026-04-17T16:35:08.810064,27.7,30.6,21.2,66.7
2026-04-17T16:35:09.813058,18.2,43.6,25.3,61.2
2026-04-17T16:35:10.817090,19.0,57.1,52.5,16.3
2026-04-17T16:35:11.822321,17.8,52.1,55.4,19.2
2026-04-17T16:35:12.823697,21.0,61.0,39.0,32.7
2026-04-17T16:35:13.827141,22.9,56.1,41.7,34.3
2026-04-17T16:35:14.830393,68.0,62.5,40.0,41.6
2026-04-17T16:35:15.832285,56.7,52.5,60.4,44.9
2026-04-17T16:35:16.833501,4.0,4.0,5.0,3.9
2026-04-17T16:35:17.834542,0.0,0.0,0.0,0.0
2026-04-17T16:35:18.835565,1.0,0.0,0.0,0.0
2026-04-17T16:35:19.836883,48.5,35.6,38.6,17.3
2026-04-17T16:35:20.839369,51.5,30.1,46.1,23.1
2026-04-17T16:35:21.842377,46.1,60.8,17.2,21.4
2026-04-17T16:35:22.850900,42.9,21.0,44.4,36.0
2026-04-17T16:35:23.886643,20.0,61.9,24.0,43.6
2026-04-17T16:35:24.904542,24.0,25.2,20.6,80.2
2026-04-17T16:35:25.907136,19.2,38.0,30.0,60.8
2026-04-17T16:35:26.910549,30.3,28.0,71.0,20.2
2026-04-17T16:35:27.912812,21.0,20.0,56.6,53.1
2026-04-17T16:35:28.915002,89.6,22.0,19.2,17.3
2026-04-17T16:35:29.918557,35.3,48.5,78.0,36.9
2026-04-17T16:35:30.921630,53.5,52.0,51.5,62.4
2026-04-17T16:35:31.923433,11.9,10.6,10.6,13.1
2026-04-17T16:35:32.924462,0.0,0.0,0.0,0.0
2026-04-17T16:35:33.925478,0.0,0.0,0.0,0.0
2026-04-17T16:35:34.927450,35.0,21.8,17.0,48.0
2026-04-17T16:35:35.930546,57.0,35.0,30.0,21.9
2026-04-17T16:35:36.932191,25.5,50.5,47.5,26.3
2026-04-17T16:35:37.933715,17.2,18.0,82.0,26.0
2026-04-17T16:35:38.936307,16.3,47.4,30.6,50.5
2026-04-17T16:35:39.938713,35.4,16.7,44.0,43.3
2026-04-17T16:35:40.941401,53.7,25.3,36.8,26.0
2026-04-17T16:35:41.943484,60.8,22.4,23.0,38.6
