timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-17T17:23:14.609670,3.0,3.0,3.0,94.9
2026-04-17T17:23:15.620245,12.6,37.6,34.7,45.5
2026-04-17T17:23:16.646788,0.0,0.0,0.0,99.0
2026-04-17T17:23:17.647689,0.0,0.0,0.0,61.4
2026-04-17T17:23:18.648134,0.0,0.0,0.0,3.0
2026-04-17T17:23:19.651701,0.0,0.0,0.0,70.0
2026-04-17T17:23:20.653810,1.0,1.0,0.0,100.0
2026-04-17T17:23:21.655720,38.2,21.2,19.0,53.0
2026-04-17T17:23:22.657362,44.6,62.9,19.0,17.8
2026-04-17T17:23:23.659230,36.4,56.1,33.3,16.3
2026-04-17T17:23:24.660796,32.7,44.9,45.5,19.4
2026-04-17T17:23:25.661994,35.0,62.1,33.7,19.6
2026-04-17T17:23:26.663403,33.0,49.5,63.4,39.2
2026-04-17T17:23:27.664015,8.2,38.0,10.3,10.4
2026-04-17T17:23:28.664393,0.0,0.0,0.0,0.0
2026-04-17T17:23:29.664770,0.0,0.0,0.0,0.0
2026-04-17T17:23:30.667096,24.0,10.0,32.0,9.9
2026-04-17T17:23:31.668863,25.3,22.3,33.7,67.0
2026-04-17T17:23:32.670883,20.0,31.3,38.4,53.5
2026-04-17T17:23:33.673264,18.0,56.6,17.0,53.1
2026-04-17T17:23:34.675518,17.6,25.5,60.6,45.0
2026-04-17T17:23:35.678364,38.8,28.0,44.8,57.1
2026-04-17T17:23:36.680209,23.8,33.7,19.0,34.0
2026-04-17T17:23:37.681319,1.0,0.0,0.0,0.0
2026-04-17T17:23:38.682405,0.0,0.0,0.0,0.0
2026-04-17T17:23:39.683867,29.3,6.1,6.1,9.1
2026-04-17T17:23:40.686310,16.0,81.4,15.5,25.8
2026-04-17T17:23:41.690067,18.8,89.9,17.2,18.4
2026-04-17T17:23:42.693713,18.0,57.0,50.5,20.6
2026-04-17T17:23:43.695748,14.6,71.7,15.5,38.8
2026-04-17T17:23:44.697763,29.2,61.0,50.5,23.4
2026-04-17T17:23:45.699315,49.0,25.5,29.7,28.6
2026-04-17T17:23:46.700440,0.0,0.0,0.0,0.0
2026-04-17T17:23:47.701568,0.0,0.0,0.0,0.0
2026-04-17T17:23:48.703367,18.2,1.0,1.0,2.0
2026-04-17T17:23:49.706947,20.8,30.7,77.0,18.8
2026-04-17T17:23:50.709424,64.0,15.2,37.5,19.8
2026-04-17T17:23:51.711981,55.6,27.0,28.0,34.7
2026-04-17T17:23:52.713561,18.0,62.0,42.4,25.5
2026-04-17T17:23:53.720535,28.3,55.6,30.3,59.0
2026-04-17T17:23:54.722569,30.4,32.7,31.4,66.0
2026-04-17T17:23:55.723776,0.0,0.0,0.0,0.0
2026-04-17T17:23:56.725397,0.0,0.0,0.0,0.0
2026-04-17T17:23:57.745525,0.0,0.0,7.9,0.0
2026-04-17T17:23:58.774359,54.6,18.8,30.6,38.2
2026-04-17T17:23:59.792135,37.6,37.3,28.3,42.3
2026-04-17T17:24:00.833888,38.8,30.7,43.6,30.3
2026-04-17T17:24:01.871104,51.0,51.5,25.2,19.4
2026-04-17T17:24:02.873206,64.0,44.8,25.8,30.7
2026-04-17T17:24:03.874934,33.3,41.3,44.7,56.1
2026-04-17T17:24:04.876055,0.0,0.0,0.0,0.0
2026-04-17T17:24:05.877139,0.0,0.0,0.0,0.0
2026-04-17T17:24:06.893468,0.0,0.0,0.0,5.0
2026-04-17T17:24:07.930194,19.6,19.4,80.8,29.8
2026-04-17T17:24:08.977281,22.5,40.8,62.4,16.8
2026-04-17T17:24:10.014024,34.3,21.9,40.4,52.5
2026-04-17T17:24:11.028896,16.3,67.0,20.8,40.6
2026-04-17T17:24:12.033529,77.6,29.7,26.3,31.7
2026-04-17T17:24:13.034854,48.0,55.7,28.1,26.0
