Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-16T22:22:05.188012, 88.0,05.0936,1.07905,05.4923
2026-04-16T22:22:06.207293, 89.0,05.1139,1.06757,05.4552
2026-04-16T22:22:07.223531, 90.0,05.1033,1.20876,06.1646
2026-04-16T22:22:08.197887, 91.0,05.1184,0.93968,04.8017
2026-04-16T22:22:09.217299, 92.0,05.1099,0.76917,03.9227
2026-04-16T22:22:10.192087, 93.0,05.1072,1.04091,05.3086
2026-04-16T22:22:11.213803, 94.0,05.1084,1.17395,05.9871
2026-04-16T22:22:12.188678, 95.0,05.1108,1.09730,05.6072
2026-04-16T22:22:13.209333, 96.0,05.1084,0.98938,05.0458
2026-04-16T22:22:14.183507, 97.0,05.1083,0.99102,05.0542
2026-04-16T22:22:15.205179, 98.0,05.0836,1.88110,09.5559
2026-04-16T22:22:16.225797, 99.0,05.1161,1.16472,05.9517
2026-04-16T22:22:17.200476,100.0,05.1095,0.77417,03.9482
2026-04-16T22:22:18.219979,101.0,05.1012,1.16571,05.9451
2026-04-16T22:22:19.193637,102.0,05.1059,1.23195,06.2829
2026-04-16T22:22:20.213758,103.0,05.1089,1.05426,05.3767
2026-04-16T22:22:21.189899,104.0,05.1062,1.08453,05.5311
2026-04-16T22:22:22.214455,105.0,05.1089,1.14789,05.8542
2026-04-16T22:22:23.189524,106.0,05.1009,1.08510,05.5340
2026-04-16T22:22:24.207858,107.0,05.1005,1.19597,06.0994
2026-04-16T22:22:25.227470,108.0,05.1075,0.81059,04.1340
2026-04-16T22:22:26.201559,109.0,05.0967,1.06649,05.4284
2026-04-16T22:22:27.220168,110.0,05.1056,1.23296,06.2880
2026-04-16T22:22:28.193172,111.0,05.1103,1.23193,06.2951
2026-04-16T22:22:29.214177,112.0,05.1064,1.25475,06.3992
2026-04-16T22:22:30.190247,113.0,05.1048,0.93968,04.7923
2026-04-16T22:22:31.210598,114.0,05.1167,1.21924,06.2303
2026-04-16T22:22:32.183531,115.0,05.1151,1.72622,08.8209
2026-04-16T22:22:33.201152,116.0,05.1075,1.20248,06.1326
2026-04-16T22:22:34.221884,117.0,05.1074,0.77178,03.9360
