timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-17T15:36:17.001539,2.0,1.0,1.0,94.2
2026-04-17T15:36:18.027329,10.1,17.2,39.8,57.0
2026-04-17T15:36:19.195294,0.0,16.7,83.8,0.0
2026-04-17T15:36:20.195734,1.0,6.1,30.4,1.0
2026-04-17T15:36:21.196134,0.0,0.0,3.0,0.0
2026-04-17T15:36:22.197778,0.0,0.0,99.0,0.0
2026-04-17T15:36:23.200487,0.0,0.0,97.0,0.0
2026-04-17T15:36:24.210923,19.8,27.7,25.0,70.0
2026-04-17T15:36:25.246656,20.0,57.3,42.0,31.4
2026-04-17T15:36:26.277441,32.4,57.1,34.0,22.5
2026-04-17T15:36:27.294297,17.2,21.2,88.3,14.6
2026-04-17T15:36:28.295807,25.0,20.4,84.0,19.0
2026-04-17T15:36:29.296996,70.6,23.0,17.3,38.2
2026-04-17T15:36:30.300263,60.6,28.3,34.0,21.4
2026-04-17T15:36:31.303030,45.5,16.7,46.0,37.1
2026-04-17T15:36:32.305622,13.5,75.0,16.7,30.2
2026-04-17T15:36:33.308464,34.3,31.3,82.7,35.4
2026-04-17T15:36:34.310716,50.5,48.0,46.5,52.0
2026-04-17T15:36:35.311483,1.0,2.0,5.0,1.0
2026-04-17T15:36:36.316182,22.0,17.8,49.0,49.5
2026-04-17T15:36:37.316843,38.0,63.6,21.0,28.2
2026-04-17T15:36:38.318166,19.6,62.6,22.1,47.5
2026-04-17T15:36:39.319114,20.6,56.6,26.5,42.4
2026-04-17T15:36:40.321542,16.3,17.3,40.2,67.3
2026-04-17T15:36:41.324873,18.4,60.8,16.5,45.3
2026-04-17T15:36:42.346455,28.8,59.0,16.8,37.1
2026-04-17T15:36:43.373094,16.8,57.6,15.2,51.5
2026-04-17T15:36:44.419853,59.0,44.0,23.5,19.4
2026-04-17T15:36:45.433861,74.5,19.0,19.0,37.3
2026-04-17T15:36:46.438086,76.0,46.9,27.6,28.1
2026-04-17T15:36:47.440016,63.9,63.7,55.4,54.0
2026-04-17T15:36:48.442615,10.2,8.2,10.2,27.5
2026-04-17T15:36:49.444149,14.3,24.0,14.0,48.0
2026-04-17T15:36:50.446795,13.7,92.2,13.7,12.8
2026-04-17T15:36:51.449865,49.0,59.0,18.0,18.2
2026-04-17T15:36:52.453191,30.9,30.3,37.6,48.0
2026-04-17T15:36:53.455687,17.8,85.6,24.0,18.0
2026-04-17T15:36:54.458824,18.0,33.0,79.8,19.4
2026-04-17T15:36:55.462133,50.5,59.0,18.2,18.2
2026-04-17T15:36:56.464442,57.0,18.0,46.9,20.4
2026-04-17T15:36:57.467305,18.8,26.8,20.6,83.2
2026-04-17T15:36:58.471074,44.4,51.0,27.5,26.0
2026-04-17T15:36:59.474530,90.8,15.3,17.3,17.2
2026-04-17T15:37:00.479286,68.0,59.0,48.0,59.6
2026-04-17T15:37:01.481666,39.0,41.4,35.4,40.4
2026-04-17T15:37:02.483643,5.1,7.1,6.0,20.2
2026-04-17T15:37:03.488975,15.3,57.7,49.5,13.7
2026-04-17T15:37:04.490853,14.6,59.6,28.6,35.8
2026-04-17T15:37:05.495753,51.0,25.7,19.6,56.3
2026-04-17T15:37:06.498888,28.7,34.3,34.3,52.0
2026-04-17T15:37:07.503350,17.3,70.3,16.5,36.8
2026-04-17T15:37:08.506233,19.4,17.3,23.2,83.7
2026-04-17T15:37:09.510493,20.6,47.5,31.6,41.8
2026-04-17T15:37:10.513673,37.9,36.7,26.5,45.0
2026-04-17T15:37:11.515431,63.6,15.5,43.2,17.3
2026-04-17T15:37:12.519059,44.1,17.2,39.6,44.0
2026-04-17T15:37:13.522911,36.4,41.4,64.6,61.2
2026-04-17T15:37:14.525374,47.1,55.2,57.7,64.0
2026-04-17T15:37:15.528290,5.0,4.0,6.2,7.0
2026-04-17T15:37:16.529519,17.0,16.3,45.5,44.9
2026-04-17T15:37:17.530901,21.9,26.8,74.3,16.3
2026-04-17T15:37:18.533706,51.4,36.5,41.0,23.5
2026-04-17T15:37:19.536661,17.3,66.3,43.9,16.3
2026-04-17T15:37:20.540930,17.2,63.4,41.4,23.5
2026-04-17T15:37:21.544423,15.5,70.7,38.5,17.2
2026-04-17T15:37:22.546920,20.8,57.6,30.2,32.0
2026-04-17T15:37:23.549442,19.8,19.8,64.9,43.6
2026-04-17T15:37:24.551919,23.5,48.0,19.4,53.1
2026-04-17T15:37:25.574122,19.8,50.0,42.0,34.0
2026-04-17T15:37:26.606059,24.8,53.9,45.9,39.6
2026-04-17T15:37:27.608132,62.2,58.3,66.0,61.9
2026-04-17T15:37:28.609786,30.7,21.0,17.0,17.8
2026-04-17T15:37:29.611806,11.0,24.2,34.7,15.2
2026-04-17T15:37:30.614368,20.2,32.0,77.6,19.0
2026-04-17T15:37:31.617203,25.7,21.6,84.7,18.0
2026-04-17T15:37:32.618962,66.0,42.0,15.6,15.5
2026-04-17T15:37:33.620612,18.4,16.2,72.7,37.0
2026-04-17T15:37:34.622417,49.0,36.6,43.9,19.8
2026-04-17T15:37:35.624060,25.3,53.9,14.6,44.3
2026-04-17T15:37:36.626685,29.3,37.8,20.4,60.2
2026-04-17T15:37:37.628895,19.0,19.6,29.4,80.8
2026-04-17T15:37:38.630694,18.8,35.4,59.6,35.0
2026-04-17T15:37:39.633759,17.3,16.3,52.5,55.1
2026-04-17T15:37:40.635449,56.4,53.0,67.7,56.2
2026-04-17T15:37:41.639583,47.5,35.0,41.0,30.3
2026-04-17T15:37:42.641524,6.0,21.0,8.2,5.0
2026-04-17T15:37:43.645748,38.8,40.0,32.0,29.0
2026-04-17T15:37:44.651276,20.0,64.6,43.0,17.5
2026-04-17T15:37:45.654284,32.7,19.2,59.4,34.3
2026-04-17T15:37:46.655678,24.5,18.0,26.5,75.7
2026-04-17T15:37:47.658679,91.9,15.5,16.5,15.5
2026-04-17T15:37:48.661506,32.0,50.5,35.4,24.2
2026-04-17T15:37:49.664846,42.7,42.3,25.7,38.0
2026-04-17T15:37:50.666766,74.0,17.3,26.0,27.8
2026-04-17T15:37:51.670444,66.3,19.0,27.0,33.7
2026-04-17T15:37:52.673506,20.4,23.3,78.8,29.7
2026-04-17T15:37:53.675403,42.7,72.0,57.3,45.6
2026-04-17T15:37:54.677978,52.6,47.0,44.4,67.7
2026-04-17T15:37:55.679600,3.0,3.0,2.0,8.9
2026-04-17T15:37:56.683702,58.0,26.5,23.8,32.4
2026-04-17T15:37:57.685261,23.2,40.4,64.0,20.8
2026-04-17T15:37:58.687115,34.3,17.5,75.0,16.3
2026-04-17T15:37:59.688626,17.3,71.7,17.2,37.1
2026-04-17T15:38:00.690536,17.3,65.0,44.2,19.4
2026-04-17T15:38:01.706097,58.4,16.2,48.5,14.4
2026-04-17T15:38:02.747989,34.3,38.4,51.0,15.2
2026-04-17T15:38:03.772718,18.2,51.0,43.4,29.6
2026-04-17T15:38:04.793259,84.5,19.8,17.3,16.3
2026-04-17T15:38:05.795586,22.8,22.8,86.5,19.0
2026-04-17T15:38:06.797922,28.6,59.6,38.4,51.5
2026-04-17T15:38:07.802671,59.4,64.9,55.6,59.8
2026-04-17T15:38:08.804569,17.8,15.8,17.8,14.0
2026-04-17T15:38:09.806175,34.0,17.8,38.4,15.5
2026-04-17T15:38:10.810406,21.2,42.3,46.5,40.6
2026-04-17T15:38:11.813167,17.2,38.8,63.3,23.7
2026-04-17T15:38:12.815638,42.0,40.2,39.2,23.8
2026-04-17T15:38:13.817701,78.6,16.5,29.9,17.3
2026-04-17T15:38:14.819986,42.0,36.0,49.0,20.6
2026-04-17T15:38:15.822069,70.7,18.6,17.2,37.6
